[*] '/home/sense/Desktop/Lab03/gotoku.local'
    Arch:     amd64-64-little
    RELRO:    Partial RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
main = 0x16ba0
Func         GOT Offset Symbol Offset
gop_726      1c658      14ce0     
gop_727      1b348      126c0     
gop_728      1c678      14d20     
gop_729      1b400      12830     
gop_730      1b300      12630     
gop_731      1c600      14c30     
gop_732      1b878      13120     
gop_733      1cb40      156b0     
gop_734      1b890      13150     
gop_735      1cb58      156e0     
gop_736      1b838      130a0     
gop_737      1cb10      15650     
gop_738      1b860      130f0     
gop_739      1cb48      156c0     
gop_740      1ca98      15560     
gop_741      1b800      13030     
gop_742      1cab0      15590     
gop_743      1bd50      13ad0     
gop_744      1d020      16070     
gop_745      1bd78      13b20     
gop_746      1d050      160d0     
gop_747      1bce8      13a00     
gop_748      1d000      16030     
gop_749      1bd08      13a40     
gop_750      1bc80      13930     
gop_751      1cf68      15f00     
gop_752      1bc98      13960     
gop_753      1cf80      15f30     
gop_754      1c1b0      14390     
gop_755      1d488      16940     
gop_756      1c1d8      143e0     
gop_757      1d4b0      16990     
gop_758      1c168      14300     
gop_759      1d470      16910     
gop_760      1b1e0      123f0     
gop_761      1c4a0      14970     
gop_762      1b1c0      123b0     
gop_763      1c3f0      14810     
gop_764      1b320      12670     
gop_765      1c108      14240     
gop_766      1d408      16840     
gop_767      1c120      14270     
gop_768      1d428      16880     
gop_769      1c128      14280     
gop_770      1c958      152e0     
gop_771      1b680      12d3c     
gop_772      1c890      15150     
gop_773      1b828      13080     
gop_774      1c5d8      14be0     
gop_775      1b2d0      125d0     
gop_776      1c5f0      14c10     
gop_777      1b2e8      12600     
gop_778      1c5f8      14c20     
gop_779      1b2f8      12620     
gop_780      1baf8      13620     
gop_781      1cd70      15b10     
gop_782      1bcc8      139c0     
gop_783      1ca68      15500     
gop_784      1b7c8      12fc0     
gop_785      1ca80      15530     
gop_786      1b7e8      13000     
gop_787      1ca90      15550     
gop_788      1b7f8      13020     
gop_789      1caa8      15580     
gop_790      1d270      16510     
gop_791      1c150      142d0     
gop_792      1cf38      15ea0     
gop_793      1bc58      138e0     
gop_794      1cf50      15ed0     
gop_795      1bc78      13920     
gop_796      1cf60      15ef0     
gop_797      1bca8      13980     
gop_798      1cf78      15f20     
gop_799      1c1a8      14380     
gop_800      1b6a8      12d80     
gop_801      1c970      15310     
gop_802      1b6d0      12dd0     
gop_803      1c998      15360     
gop_804      1b6e8      12e00     
gop_805      1c9b0      15390     
gop_806      1b700      12e30     
gop_807      1cf10      15e50     
gop_808      1bc08      13840     
gop_809      1cf30      15e90     
gop_810      1b208      12440     
gop_811      1ca40      154b0     
gop_812      1b790      12f50     
gop_813      1ca58      154e0     
gop_814      1b7a8      12f80     
gop_815      1c9f8      15420     
gop_816      1b760      12ef0     
gop_817      1ca18      15460     
gop_818      1b798      12f60     
gop_819      1cac0      155b0     
gop_820      1c040      140b0     
gop_821      1d330      16690     
gop_822      1c5a8      14b80     
gop_823      1b288      12540     
gop_824      1c5c0      14bb0     
gop_825      1b2a8      12580     
gop_826      1c540      14ab0     
gop_827      1b270      12510     
gop_828      1c560      14af0     
gop_829      1b290      12550     
gop_830      1bb50      136d0     
gop_831      1ce40      15cb0     
gop_832      1bb60      136f0     
gop_833      1d3d8      167e0     
gop_834      1c0c0      141b0     
gop_835      1d3f0      16810     
gop_836      1c0d8      141e0     
gop_837      1d380      16730     
gop_838      1c098      14160     
gop_839      1d3b0      16790     
gop_840      1c990      15350     
gop_841      1b6e0      12df0     
gop_842      1c9a8      15380     
gop_843      1b6f8      12e20     
gop_844      1cf08      15e40     
gop_845      1bc00      13830     
gop_846      1cf28      15e80     
gop_847      1bc28      13880     
gop_848      1ce88      15d40     
gop_849      1bbd0      137d0     
gop_850      1c7b0      14f90     
gop_851      1b4d8      129e0     
gop_852      1c778      14f20     
gop_853      1b450      128d0     
gop_854      1c9e0      153f0     
gop_855      1b1d8      123e0     
gop_856      1c4d0      149d0     
gop_857      1b1f0      12410     
gop_858      1c4e0      149f0     
gop_859      1b1f8      12420     
gop_860      1b010      12050     
gop_861      1c2e0      145f0     
gop_862      1d540      16ab0     
gop_863      1c518      14a60     
gop_864      1d310      16650     
gop_865      1c018      14060     
gop_866      1d320      16670     
gop_867      1c028      14080     
gop_868      1d328      16680     
gop_869      1c038      140a0     
gop_870      1d170      16310     
gop_871      1be18      13c60     
gop_872      1d360      166f0     
gop_873      1bb30      13690     
gop_874      1ce28      15c80     
gop_875      1bb40      136b0     
gop_876      1ce30      15c90     
gop_877      1bb48      136c0     
gop_878      1ce38      15ca0     
gop_879      1bb58      136e0     
gop_880      1b928      13280     
gop_881      1ce60      15cf0     
gop_882      1b6a0      12d70     
gop_883      1c968      15300     
gop_884      1b6c8      12dc0     
gop_885      1c988      15340     
gop_886      1b6d8      12de0     
gop_887      1c9a0      15370     
gop_888      1b6f0      12e10     
gop_889      1cf00      15e30     
gop_890      1b4c8      129c0     
gop_891      1c7b8      14fa0     
gop_892      1b4a8      12980     
gop_893      1c7a8      14f80     
gop_894      1b4d0      129d0     
gop_895      1c770      14f10     
gop_896      1b448      128c0     
gop_897      1c9d8      153e0     
gop_898      1b1d0      123d0     
gop_899      1c4c8      149c0     
gop_900      1bf20      13e70     
gop_901      1d1f0      16410     
gop_902      1c480      14930     
gop_903      1b148      122c0     
gop_904      1c4a8      14980     
gop_905      1b198      12360     
gop_906      1c418      14860     
gop_907      1b118      12260     
gop_908      1c458      148e0     
gop_909      1b190      12350     
gop_910      1c330      14690     
gop_911      1b090      12150     
gop_912      1c360      146f0     
gop_913      1b660      12cf0     
gop_914      1c910      15250     
gop_915      1b688      12d40     
gop_916      1c930      15290     
gop_917      1b5e0      12bf0     
gop_918      1c8c0      151b0     
gop_919      1b628      12c80     
gop_920      1b508      12a40     
gop_921      1c7f0      15010     
gop_922      1b540      12ab0     
